Park_Name,Latitude,Longitude,Visitors,Year,Notes,Rank
"TUN SAKARAN MARINE PARK, SEMPORNA",4.545,118.665,1068,2021,,3
"SIPADAN ISLAND PARK, SEMPORNA",4.1167,118.6333,573,2021,,4
TUNKU ABDUL RAHMAN PARK,5.972,116.007,1087,2021,,2
"TURTLE ISLANDS PARK, SANDAKAN",6.17,118.06,1,2021,,26
"PULAU TIGA PARK, KUALA PENYU",5.57,115.6,2,2021,,25
SAMA JAYA NATIONAL RESERVE,1.545,110.36,527,2021,,5
SEMENGGOH WILDLIFE CENTRE,1.4,110.31,350,2021,,9
KUBAH NATIONAL PARK,1.61,110.2,76,2021,,15
NIAH NATIONAL PARK,3.82,113.76,117,2021,,14
BAKO NATIONAL PARK,1.71,110.47,161,2021,,12
MATANG WILDLIFE CENTRE,1.61,110.16,16,2021,,23
SANTUBONG NATIONAL PARK,1.64,110.34,35,2021,,20
GADING NATIONAL PARK,1.69,109.85,40,2021,,19
MULU NATIONAL PARK,4.02,114.81,125,2021,,13
MIRI SIBUTI CORAL REEF,4.46,114.04,52,2021,,17
"KUALA TAHAN, PAHANG NATIONAL PARK",4.145,102.4042,20304,2022,,4
"SG. RELAU, PAHANG NATIONAL PARK",4.8814,102.0461,325,2022,,23
"KUALA KOH, KELANTAN NATIONAL PARK",5.0617,102.1524,0,2022,,30
"TG. MENTONG, TERENGGANU NATIONAL PARK",4.9658,102.8021,66,2022,,26
PULAU PINANG NATIONAL PARK,5.45,100.19,23102,2022,,3
KUALA GANDAH NATIONAL ELEPHANT CONSERVATION CENTRE,3.59,102.14,9199,2022,,10
KEDAH MARINE PARK,6.062,100.04,489,2022,,21
TERENGGANU MARINE PARK,5.45,103.11,35491,2022,closed from January - February 2020 and November - December 2020 due to monsoon.,2
PAHANG MARINE PARK,4.13,103.45,2879,2022,closed from January - February 2020 and November - December 2020 due to monsoon.,14
JOHOR MARINE PARK,2.6,104.3,15650,2022,,7
LABUAN MARINE PARK,5.304,115.15,100,2022,,25
KINABALU PARK,6.02,116.55,17517,2022,,5
TAWAU HILLS PARK,4.4167,117.8833,746,2022,,19
"CROCKER RANGE PARK, KENINGAU",5.4,116.1,24,2022,,28
"TUN SAKARAN MARINE PARK, SEMPORNA",4.545,118.665,6779,2022,,11
"SIPADAN ISLAND PARK, SEMPORNA",4.1167,118.6333,14317,2022,,8
TUNKU ABDUL RAHMAN PARK,5.972,116.007,39163,2022,,1
"TURTLE ISLANDS PARK, SANDAKAN",6.17,118.06,3384,2022,,13
"PULAU TIGA PARK, KUALA PENYU",5.57,115.6,197,2022,,24
SAMA JAYA NATIONAL RESERVE,1.545,110.36,1262,2022,,16
SEMENGGOH WILDLIFE CENTRE,1.4,110.31,16130,2022,,6
BUKIT LIMA,2.21,114.0,0,2022,,31
PIASU NATIONAL PARK,4.54,114.47,15,2022,,29
KUBAH NATIONAL PARK,1.61,110.2,804,2022,,18
NIAH NATIONAL PARK,3.82,113.76,2178,2022,,15
BAKO NATIONAL PARK,1.71,110.47,12794,2022,,9
BUKIT SEMBLING,1.55,114.16,0,2022,,32
MATANG WILDLIFE CENTRE,1.61,110.16,383,2022,,22
SANTUBONG NATIONAL PARK,1.64,110.34,705,2022,,20
GADING NATIONAL PARK,1.69,109.85,889,2022,,17
MULU NATIONAL PARK,4.02,114.81,5234,2022,,12
MIRI SIBUTI CORAL REEF,4.46,114.04,50,2022,,27
"KUALA TAHAN, PAHANG NATIONAL PARK",4.145,102.4042,49553,2023,,3
"SG. RELAU, PAHANG NATIONAL PARK",4.8814,102.0461,1210,2023,,23
"KUALA KOH, KELANTAN NATIONAL PARK",5.0617,102.1524,16,2023,,30
"TG. MENTONG, TERENGGANU NATIONAL PARK",4.9658,102.8021,33,2023,,29
PULAU PINANG NATIONAL PARK,5.45,100.19,24608,2023,,9
KUALA GANDAH NATIONAL ELEPHANT CONSERVATION CENTRE,3.59,102.14,18201,2023,,11
KEDAH MARINE PARK,6.062,100.04,1712,2023,,21
TERENGGANU MARINE PARK,5.45,103.11,66932,2023,closed from January - February 2020 and November - December 2020 due to monsoon.,2
PAHANG MARINE PARK,4.13,103.45,10423,2023,closed from January - February 2020 and November - December 2020 due to monsoon.,13
JOHOR MARINE PARK,2.6,104.3,18414,2023,,10
LABUAN MARINE PARK,5.304,115.15,175,2023,,27
MELAKA MARINE PARK,2.15,102.32,9,2023,,31
KINABALU PARK,6.02,116.55,35706,2023,,6
TAWAU HILLS PARK,4.4167,117.8833,2380,2023,,19
"CROCKER RANGE PARK, KENINGAU",5.4,116.1,121,2023,,28
"TUN SAKARAN MARINE PARK, SEMPORNA",4.545,118.665,41931,2023,,4
"SIPADAN ISLAND PARK, SEMPORNA",4.1167,118.6333,35088,2023,,7
TUNKU ABDUL RAHMAN PARK,5.972,116.007,221025,2023,,1
"TURTLE ISLANDS PARK, SANDAKAN",6.17,118.06,7762,2023,,14
"PULAU TIGA PARK, KUALA PENYU",5.57,115.6,1961,2023,,20
SAMA JAYA NATIONAL RESERVE,1.545,110.36,2469,2023,,17
SEMENGGOH WILDLIFE CENTRE,1.4,110.31,41343,2023,,5
BUKIT LIMA,2.21,114.0,6,2023,,32
PIASU NATIONAL PARK,4.54,114.47,342,2023,,25
KUBAH NATIONAL PARK,1.61,110.2,2798,2023,,16
NIAH NATIONAL PARK,3.82,113.76,4592,2023,,15
BAKO NATIONAL PARK,1.71,110.47,31696,2023,,8
BUKIT SEMBLING,1.55,114.16,2,2023,,33
MATANG WILDLIFE CENTRE,1.61,110.16,1443,2023,,22
SANTUBONG NATIONAL PARK,1.64,110.34,1173,2023,,24
GADING NATIONAL PARK,1.69,109.85,2467,2023,,18
MULU NATIONAL PARK,4.02,114.81,13181,2023,,12
MIRI SIBUTI CORAL REEF,4.46,114.04,241,2023,,26
